"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","488","deve retornar erro 400 quando email ausente","","2026-06-01","passed","2026-06-01","","TC_API_006 - Verificar login sem email via API","",""
"","13474","deve adicionar avaliação em produto","","2026-06-01","passed","2026-06-01","","TC_WEB_021 - Adicionar avaliação em produto","",""
"","13411","deve adicionar produtos ao carrinho","","2026-06-01","passed","2026-06-01","","TC_WEB_012 - Adicionar produtos ao carrinho","",""
"","11218","deve fazer logout e navegar para página de login","","2026-06-01","passed","2026-06-01","","TC_WEB_004 - Logout de usuário","",""
"","514","deve criar usuário e retornar status 201","","2026-06-01","passed","2026-06-01","","TC_API_008 - Criar conta de usuário via API","",""
"","8399","deve mostrar erro com credenciais incorretas","","2026-06-01","passed","2026-06-01","","TC_WEB_003 - Login de usuário com email e senha incorretos","",""
"","5509","deve verificar scroll up com botão de seta e scroll down","","2026-06-01","passed","2026-06-01","","TC_WEB_025 - Verificar scroll up usando botão de seta e funcionalidade scroll down","",""
"","14634","deve verificar todos os produtos e página de detalhes","","2026-06-01","passed","2026-06-01","","TC_WEB_008 - Verificar todos os produtos e página de detalhes do produto","",""
"","24630","deve visualizar produtos por categoria","","2026-06-01","passed","2026-06-01","","TC_WEB_018 - Visualizar produtos por categoria","",""
"","1008","Pico (Spike) - endpoint /api/productsList","","2026-06-01","failed","2026-06-01","","Performance","",""
"","45415","deve realizar pedido com registro antes do checkout","","2026-06-01","passed","2026-06-01","","TC_WEB_015 - Fazer pedido registrando antes do checkout","",""
"","20948","deve visualizar e adicionar produtos de marcas","","2026-06-01","passed","2026-06-01","","TC_WEB_019 - Visualizar e adicionar ao carrinho produtos de marcas","",""
"","7942","Produtos deve ter LCP < 2500ms e CLS < 0,1","","2026-06-01","passed","2026-06-01","","TC_PF_008 - Core Web Vitals - Metricas de Frontend","",""
"","1094","Resistência (Soak) - endpoint /api/productsList","","2026-06-01","failed","2026-06-01","","Performance","",""
"","742","deve retornar detalhes do usuário correto confirmando email e nome","","2026-06-01","passed","2026-06-01","","TC_API_011 - Obter detalhes do usuário por email via API","",""
"","5048","deve verificar scroll up sem botão de seta e scroll down","","2026-06-01","passed","2026-06-01","","TC_WEB_026 - Verificar scroll up sem botão de seta e funcionalidade scroll down","",""
"","2895","Login deve ter LCP < 2500ms e CLS < 0,1","","2026-06-01","passed","2026-06-01","","TC_PF_008 - Core Web Vitals - Metricas de Frontend","",""
"","1021","Carga concorrente na página inicial","","2026-06-01","failed","2026-06-01","","Performance","",""
"","5737","deve navegar para página de casos de teste","","2026-06-01","passed","2026-06-01","","TC_WEB_007 - Verificar página de casos de teste","",""
"","327","deve retornar ""User not found!"" com status 404","","2026-06-01","passed","2026-06-01","","TC_API_007 - Verificar login com credenciais inválidas via API","",""
"","1000","Auditoria de imagens","","2026-06-01","passed","2026-06-01","","Performance","",""
"","8704","deve verificar quantidade de produto no carrinho","","2026-06-01","passed","2026-06-01","","TC_WEB_013 - Verificar quantidade de produto no carrinho","",""
"","36571","deve realizar pedido com login antes do checkout","","2026-06-01","passed","2026-06-01","","TC_WEB_016 - Fazer pedido fazendo login antes do checkout","",""
"","1220","Estresse no endpoint /api/productsList","","2026-06-01","failed","2026-06-01","","Performance","",""
"","397","deve retornar erro 400 quando parâmetro ausente","","2026-06-01","passed","2026-06-01","","TC_API_004 - Pesquisar produto sem parâmetro via API","",""
"","3551","Casos de Teste deve ter LCP < 2500ms e CLS < 0,1","","2026-06-01","passed","2026-06-01","","TC_PF_008 - Core Web Vitals - Metricas de Frontend","",""
"","5896","deve adicionar ao carrinho itens recomendados","","2026-06-01","passed","2026-06-01","","TC_WEB_022 - Adicionar ao carrinho itens recomendados","",""
"","19000","deve enviar formulário de contato com sucesso","","2026-06-01","passed","2026-06-01","","TC_WEB_006 - Formulário de contato","",""
"","14317","deve pesquisar produto e verificar resultados","","2026-06-01","passed","2026-06-01","","TC_WEB_009 - Pesquisar produto","",""
"","1000","Carga no endpoint /api/searchProduct","","2026-06-01","passed","2026-06-01","","Performance","",""
"","3613","Carrinho deve ter LCP < 2500ms e CLS < 0,1","","2026-06-01","passed","2026-06-01","","TC_PF_008 - Core Web Vitals - Metricas de Frontend","",""
"","3898","Carga no endpoint /api/productsList","","2026-06-01","failed","2026-06-01","","Performance","",""
"","289","deve retornar lista de marcas com status 200","","2026-06-01","passed","2026-06-01","","TC_API_002 - Listar todas as marcas via API","",""
"","265","deve retornar erro 405 quando PUT é usado em brandsList","","2026-06-01","passed","2026-06-01","","TC_API_013 - Validar método PUT em brandsList via API","",""
"","1177","deve retornar lista de produtos com status 200","","2026-06-01","passed","2026-06-01","","TC_API_001 - Listar todos os produtos via API","",""
"","12342","deve remover produtos do carrinho","","2026-06-01","passed","2026-06-01","","TC_WEB_017 - Remover produtos do carrinho","",""
"","1000","Carga no fluxo de checkout","","2026-06-01","failed","2026-06-01","","Performance","",""
"","377","deve retornar produtos encontrados com status 200","","2026-06-01","passed","2026-06-01","","TC_API_003 - Pesquisar produto por termo via API","",""
"","88416","deve realizar pedido com registro durante checkout","","2026-06-01","failed","2026-06-01","","TC_WEB_014 - Fazer pedido registrando durante o checkout","",""
"","565","deve retornar erro 405 quando POST é usado em productsList","","2026-06-01","passed","2026-06-01","","TC_API_012 - Validar método POST em productsList via API","",""
"","8722","deve verificar assinatura de newsletter na página do carrinho","","2026-06-01","passed","2026-06-01","","TC_WEB_011 - Verificar assinatura na página do carrinho","",""
"","4706","Contato deve ter LCP < 2500ms e CLS < 0,1","","2026-06-01","passed","2026-06-01","","TC_PF_008 - Core Web Vitals - Metricas de Frontend","",""
"","","deve pesquisar produtos e verificar carrinho após login","","","failed","","","TC_WEB_020 - Pesquisar produtos e verificar carrinho após login","",""
"","682","deve excluir usuário e retornar status 200","","2026-06-01","passed","2026-06-01","","TC_API_009 - Excluir conta de usuário via API","",""
"","1000","Carga no endpoint /api/updateAccount","","2026-06-01","failed","2026-06-01","","Performance","",""
